name,ring,quadrant,isNew,description
Webpack,Adopt,Languages & Frameworks,TRUE,"<p>Webpack is an open-source JavaScript module bundler. It is made primarily for JavaScript, but it can transform front-end assets such as HTML, CSS, and images if the corresponding loaders are included. Webpack takes modules with dependencies and generates static assets representing those modules.</p>"
React,Adopt,Languages & Frameworks,TRUE,"<p>Reactjs is the most popular front-end JavaScript library for building Web applications. React.js or Reactjs or simply React are different ways to represent React.js. Most fortune 500 companies use Reactjs In this article, we will learn what React.js (or simply React or Reactjs) is and why we should use Reactjs instead of other JavaScript frameworks like Angular. </p>"
Jest,Adopt,Languages & Frameworks,TRUE,"<p>Jest is a JavaScript test runner, that is, a JavaScript library for creating, running, and structuring tests.</p>
 
<p> Jest ships as an NPM package, you can install it in any JavaScript project. Jest is one of the most popular test runner these days, and the default choice for React projects.</p>"
Cypress,Adopt,Languages & Frameworks,TRUE,"<p>Cypress framework is a JavaScript-based end-to-end testing framework built on top of Mocha – a feature-rich JavaScript test framework running on and in the browser, making asynchronous testing simple and convenient. It also uses a BDD/TDD assertion library and a browser to pair with any JavaScript testing framework.</p>"
Service Ownership,Adopt,Techniques,TRUE,"<p>A service owner is accountable for the quality of their service. In this role, you will be expected to adopt a portfolio view, managing end-to-end services that include multiple products and channels. </p>"
Peer Review,Adopt,Techniques,TRUE,<p>Peer review is a software quality assurance activity in which one or several people check a program mainly by viewing and reading parts of its source code. While multiple parties reviewing code does mean lower productivity per developer it generally increase the quality of the code significantly as bugs and errors in logic are identified before getting to production</p>
incident response,Adopt,Techniques,TRUE,"<p> Incident management (IcM) is a term describing the activities of an organization to identify, analyze, and correct hazards to prevent a future recurrence. If not managed, an incident can escalate into an emergency, crisis or a disaster. Incident management is therefore the process of limiting the potential disruption caused by such an event, followed by a return to business as usual. Without effective incident management, an incident can disrupt business operations, information security, IT systems, employees, customers, or other vital business functions.</p>"
Pairing / mobbing,Adopt,Techniques,TRUE,"<p>Mob Programming, as known as pair programing is where more then one developer for on single software component. The purpose of this is code must be clear and well documented. This techniques tends to lead to improved quality of code by having multiple eyes and critically experience work on it.</p>"
GitHub Actions,Adopt,Tools,TRUE,<p>Github Action as a feature of Git Hub that enables various automatic tasks to be carried out. The main feature of this is to push code to Test and Prod environments. This is critical to enable CI/CD pipelines. We chose Github actions due to its native integration with Git Hub.</p>
GCP IAM Service accounts,Adopt,Tools,TRUE,<p>GCP Service accounts are Google Cloud tied logins used by components/code to run. They are ONLY used by these components because they are used by the electronic systems we can construct highly complex passwords. Increasing our security posture.</p>
gcp secret manager,Adopt,Tools,TRUE,<p>Used in conjunction with service accounts. Secret manager stores these credentials in a way that consumers can access them but importantly the credentials are not stored in configuration files of such components.</p>
GCP cloud run,Adopt,Tools,TRUE,<p>Cloud Run is a serverless container platform that allows code to run isolated from the physical hardware of the server. It has the ability to scale upwards and downwards automatically reducing cost of operation. </p>
Azure Event Hub,Adopt,Tools,TRUE,<p>Azure Event hubs are used to receive asynchronous data into our azure data platform. We have had issues with scaling this tool in our transaction feed so caution should be used when designing feeds. With our desire to capture all points of data we would continue to roll this technology out with new use cases.</p>
Pagerduty,Adopt,Tools,TRUE,"<p>PagerDuty allows us to route platform issues to the member of staff on call. With our extended team covering multiple partners this tool is vital, currently is only used with the digital teams. We should explore opportunities to adopt this further with our Technology estate.</p>"
Templated GCP Alerts,Adopt,Tools,TRUE,<p>Currently we have alerts being generated in multiple formats. This causes issues when trying to parse them and take automated action. With our move to GCP Logging we should endeavour to create a consistent format for our alerts.</p>
Microsoft Teams,Adopt,Tools,TRUE,<p>Microsoft Teams is already used heavily by Pret staff. However we still continue to use Confluence in the digital space for communications. We should move over sites to Microsoft Groups in teams when and ass we have the chance.</p>
GCP - PUBSUB,Adopt,Tools,TRUE,"<p>Pub/Sub, which stands for Publisher/Subscriber, allows services to communicate asynchronously, with latencies on the order of 100 milliseconds.</p>
 
<p>Pub/Sub is used for streaming analytics and data integration pipelines to ingest and distribute data. It is equally effective as messaging-oriented middleware for service integration or as a queue to parallelize tasks.</p>"
GCP Load Balancer,Adopt,Tools,TRUE,"<p>A load balancer distributes user traffic across multiple instances of your applications. By spreading the load, load balancing reduces the risk that your applications experience performance issues.</p>"
GCP API Gateway,Adopt,Tools,TRUE,"<p>API Gateway enables you to provide secure access to your backend services through a well-defined REST API that is consistent across all of your services, regardless of the service implementation. Clients consume your REST APIS to implement standalone apps for a mobile device or tablet, through apps running in a browser, or through any other type of app that can make a request to an HTTP endpoint.</p>"
Servicenow,Adopt,Platforms,TRUE,"<p>ServiceNow is a cloud-based company that provides software as a service (SaaS) for technical management support. The company specializes in IT services management (ITSM), IT operations management (ITOM) and IT business management (ITBM), allowing users to manage projects, teams and customer interactions via a variety of apps and plugins.</p>"
Firebase,Adopt,Platforms,TRUE,"<p>Google Firebase is a Google-backed application development software that enables developers to develop iOS, Android and Web apps. Firebase provides tools for tracking analytics, reporting and fixing app crashes, creating marketing and product experiment</p>"
Secret and Key Management,Adopt,Techniques,TRUE,"<p>Key management refers to managing cryptographic keys within a cryptosystem. It deals with generating, exchanging, storing, using and replacing keys as needed at the user level.</p>
 <p>A key management system will also include key servers, user procedures and protocols, including cryptographic protocol design. The security of the cryptosystem is dependent upon successful key management.</p>"
Failing Gracefully,Adopt,Techniques,TRUE,"<p>A graceful failing is a simple programming idiom wherein a program detects a serious error condition and ""exits gracefully"" in a controlled manner as a result. Often the program prints a descriptive error message to a terminal or log as part of the graceful exit.</p>"
IOS Apps - Customer,Adopt,Platforms,TRUE,<p>The IOS operating system is used on 35% of all smartphones in Europe. Delivering an application platform that functions on Android is given.</p>
Bit Rise - IOS App,Adopt,Tools,TRUE,"<p>Bitrise is a Continuous Integration and Delivery (CI/CD) Platform as a Service (PaaS) with a main focus on mobile app development (iOS, Android, React Native, Flutter, and so on). It is a collection of tools and services to help you with the development and automation of your software projects.
 </p>"
Simphony,Adopt,Platforms,TRUE,<p>Simphony is a till system provided by the Oracle Corporation. Its is an enterprise grade EPoS platform. It's allows for central management and is integrated with our Back of House systems.</p>
RBAC,Adopt,Techniques,TRUE,"<p>Role-based access control (RBAC) is a method of restricting network access based on the roles of individual users within an enterprise.</p>
 
<p>RBAC ensures employees access only information they need to do their jobs and prevents them from accessing information that doesn't pertain to them.</p>"
Playwright,Adopt,Languages & Frameworks,TRUE,"<p>Created by Microsoft, Playwright is an open source browser automation framework that allows JavaScript engineers to test their web applications on Chromium, Webkit, and Firefox browsers.</p>"
API Versioning and deprecation,Adopt,Techniques,TRUE,"<p>A deprecated API object is positioned to be retired at a future date. Though the object remains fully supported until its retirement date, we recommend that users take advantage of newer API functionality that is meant to replace deprecated APIs at their earliest convenience. Operations for deprecated objects provide information in the response headers informing clients of the object’s status as well as deprecation and retirement dates.
 </p>"
Redux Toolkit,Adopt,Languages & Frameworks,TRUE,"<p>Redux is a pattern and library for managing and updating application state, using events called ""actions"". It serves as a centralized store for state that needs to be used across your entire application, with rules ensuring that the state can only be updated in a predictable fashion.</p>"
Next.js,Adopt,Languages & Frameworks,TRUE,"<p>Next.js is an open-source development framework built on top of Node.js enabling React based web applications functionalities such as server-side rendering and generating static websites. React documentation mentions Next.js among ""Recommended Toolchains"" advising it to developers as a solution when ""building a server-rendered website with Node.js"". Traditional React apps render all their content in the client-side browser, Next.js is used to extend this functionality to include applications rendered on the server side.</p>"
Open API (Swagger),Adopt,Languages & Frameworks,TRUE,"<p>The OpenAPI Specification (OAS) defines a standard, language-agnostic interface to RESTful APIs which allows both humans and computers to discover and understand the capabilities of the service without access to source code, documentation, or through network traffic inspection. When properly defined, a consumer can understand and interact with the remote service with a minimal amount of implementation logic.</p>
 
<p>An OpenAPI definition can then be used by documentation generation tools to display the API, code generation tools to generate servers and clients in various programming languages, testing tools, and many other use cases.</p>"
Pret Common API Standards,Adopt,Techniques,TRUE,"<p>Prets Technology, and more importantly digital landscape has evolved rapidly during the last year. In term this has generated considerably more points of integration across our landscape. While on the whole these are consistent we need to develop and document a standard approach that can be followed as this ecosystem is further added to.</p>"
Cloud Firewalls,Adopt,Platforms,TRUE,"<p>Cloud Firewalls are software-based, cloud deployed network devices, built to stop or mitigate unwanted access to private networks. As a new technology, they are designed for modern business needs, and sit within online application environments. </p>"
SD-WAN,Adopt,Platforms,TRUE,"<p>SD-WAN stands for software-defined wide area network (or networking). A WAN is a connection between local area networks (LANs) separated by a substantial distance—anything from a few miles to thousands of miles. The term software-defined implies the WAN is programmatically configured and managed. So, it can be easily adapted quickly to meet changing needs. </p>"
Meraki Configuration Templates,Adopt,Tools,TRUE,"<p>Currently when we deploy new Meraki Wifi devices the configuration is largely hap hazard this leads to both an inconsistent configuration and at worse poor security implementations.  Moving to standard templates for Meraki allows us to layer configuration on top of best practise templates, this will greatly reduce inconsistency and reduce the time to make changes and deploy them across the business. </p>"
Python,Adopt,Languages & Frameworks,TRUE,"<p>Python is a high-level programming language designed to be easy to read and simple to implement. It is open source, which means it is free to use, even for commercial applications. Python can run on Mac, Windows, and Unix systems and has also been ported to Java and .NET virtual machines.</p>"
Meraki SDK,Adopt,Languages & Frameworks,TRUE,"<p>The Meraki SDK is used with the Meraki rest API to duplicate template or download settings. We have had rare, very rare use case and it is something we would like to explore in the future to automate deployment using python.</p>"
Meraki Auto-VPN,Adopt,Techniques,TRUE,<p>Meraki auto VPN is the Meraki technology which enable IPsec tunnels between a spoke and a hub in our case shops to DC concentrator without having to configure phase1 phase2 of the VPN as traditionally done with previous Cisco firewall. It is more secure and easier to deploy (Zero touch provisioning) that's why we are using it. </p>
SNMP Traps,Adopt,Tools,TRUE,"<p>SNMP traps are a mechanism used for generate event driven alerts. Unlike traditional log scaping they can be configured to be conditional, both positive and negative. The SNMP mechanism is lightweight and has also become a standard feature on more the just software. Many physical devices now support then generation of alerts through SNMP.</p>"
Infrastructure as Code,Adopt,Techniques,TRUE,"<p>Infrastructure as code (IaC) is the process of managing and provisioning computer data centers through machine-readable definition files, rather than physical hardware configuration or interactive configuration tools. The IT infrastructure managed by this process comprises both physical equipment, such as bare-metal servers, as well as virtual machines, and associated configuration resources. The definitions may be in a version control system.</p>"
Cloud Native Monitoring,Adopt,Platforms,TRUE,"<p. As part of our move to a truly cloud based, we need to define where we are going to manage our monitoring. While we have monitoring tools that run in our data centre this is not ideal as we eventually move away from the on-prem model. We should adopt monitoring within the cloud, specifically services should be monitored in the cloud they are running in. For example, Google services should be monitored in the Google Cloud. </p>"
Azure Keyvaults,Adopt,Platforms,TRUE,"<p>Azure Key Vault is a cloud hosted service offering secure storage and access for certificates, connection strings and other secrets. It streamlines the key management process and provides full control of keys for accessing and encrypting your data.</p>"
Azure Data Factory,Adopt,Tools,TRUE,<p>The Azure Data Factory (ADF) is a service designed to allow developers to integrate disparate data sources. It is a platform somewhat like SSIS in the cloud to manage the data you have both on-prem and in the cloud.</p>
Postgres,Adopt,Tools,TRUE,"<p>PostgreSQL is a powerful, open source object-relational database system that uses and extends the SQL language combined with many features that safely store and scale the most complicated data workloads.</p>"
LaunchDarkly,Trial,Tools,TRUE,"<p>LaunchDarkly is feature management platform, it enables you to deliver features to production but only activate them for a subset of the user base. This could enable more effective functional customer testing. It can also allow develop features to be switch on for super users in production but not the rest of the user base. </p> "
Adyen,Trial,Tools,TRUE,"<p>Adyen offers merchants online services for accepting electronic payments by payment methods including credit cards, bank based payments such as debit cards, bank transfer, and real-time bank transfers based on online banking. Adyen's online payment platform connects to payment methods across the world. Payment methods include international credit cards, local cash-based methods, such as Boleto in Brazil, Internet banking methods, such as iDEAL in the Netherlands and Mobile payment methods, such as Blik in Poland. The technology platform acts as a payment gateway, payment service provider and offers risk management and local acquiring.</p>"
Gatling,Trial,Languages & Frameworks,TRUE,"<p>Gatling is an open-source load testing tool based on Scala, Akka, and Netty. It allows us to create and conduct high-performance, low-maintenance load tests on local and cloud computers.</p>"
Templated Runbooks,Trial,Techniques,TRUE,<p> Templated Runbooks is the process of documenting scripts for testing components. It ensures a consistent approach to test and also a framework that enables a greater standard of test and reduced errors to production. </p>
contract testing,Trial,Techniques,TRUE,"<p>Contract testing is a methodology for ensuring that two separate systems (such as two microservices) are compatible and are able to communicate with one other. It captures the interactions that are exchanged between each service, storing them in a contract, which can then be used to verify that both parties adhere to it.</p>"
Power BI Visualisation,Trial,Tools,TRUE,"<p>Power BI is a collection of software services, apps, and connectors that work together to turn your unrelated sources of data into coherent, visually immersive, and interactive insights. Your data may be an Excel spreadsheet, or a collection of cloud-based and on-premises hybrid data warehouses. Power BI lets you easily connect to your data sources, visualize and discover what's important, and share that with anyone or everyone you want.</p>"
Pact,Trial,Tools,TRUE,"<p>Pact is a code-first tool for testing HTTP and message integrations using contract tests. Contract tests assert that inter-application messages conform to a shared understanding that is documented in a contract. Without contract testing, the only way to ensure that applications will work correctly together is by using expensive and brittle integration tests. </p>"
Adyen Shopper DNA,Trial,Tools,TRUE,"<p>ShopperDNA links clustered transactions to identify a profile of a shopper even as they change devices, networks, and identities. This profile is dynamic and changes based on real-time data.</p>"
Sentry,Trial,Tools,TRUE,"<p>Sentry is an application monitoring platform, it a lightweight and can sits in both the client of applications and within the mobile browser for uses access via their browser. Through initial testing it is believed this tool will allow us to track local crashes across our digital product portfolio and reported that data to single output. Allowing us to perform accurate monitoring and diagnose of issues and access Realtime insight into errors in the production. </p>"
Google Cloud Functions,Trial,Platforms,TRUE,"<p>Google Cloud Functions is a serverless execution environment for building and connecting cloud services. With Cloud Functions you write simple, single-purpose functions that are attached to events emitted from your cloud infrastructure and services. Your function is triggered when an event being watched is fired. Your code executes in a fully managed environment. There is no need to provision any infrastructure or worry about managing any servers.</p>
 
 </>Cloud Functions can be written using JavaScript, Python 3, Go, or Java runtimes on Google Cloud Platform. You can take your function and run it in any standard Node.js (Node.js 10 or 12), Python 3 (Python 3.7 or 3.8), Go (Go 1.11 or 1.13) or Java (Java 11) environment, which makes both portability and local testing a breeze.</p>"
Traffic Shaping,Trial,Techniques,TRUE,<p>Traffic shaping (also known as packet shaping) is bandwidth management technique that delays the flow of certain types of network packets in order to ensure network performance for higher priority applications. Traffic shaping essentially limits the amount of bandwidth that can be consumed by certain types of applications. It is primarily used to ensure a high quality of service for business-related network traffic.</p>
5G WAN,Trial,Platforms,TRUE,"<p>An approach to internet connectivity the usings 5th Generation Mobile internet, where a physical internet connection is not available.</p>"
Azure DevOps,Trial,Tools,TRUE,<p>Azure DevOps is a Software as a service (SaaS) platform from Microsoft that provides an end-to-end DevOps toolchain for developing and deploying software. It also integrates with most leading tools on the market and is a great option for orchestrating a DevOps toolchain.</p>
Macro Frontends,Assess,Techniques,TRUE,"<p>Traditionally monolithic applications tend to have a single front end. Generally, this increases development time. We should strive to build with Marco Frontends, a technique that dictates that you build multiple frontends seamlessly embedded within a single application. This allows more developers to work concurrently, as well as reduces the risk of complete failure, if one of the front ends fail part in the application may not be available but other elements will continue to work. </p> "
azure pim,Assess,Tools,TRUE,"<p>Privileged Identity Management (PIM) is a service in Azure Active Directory (Azure AD) that enables you to manage, control, and monitor access to important resources in your organization. These resources include resources in Azure AD, Azure, and other Microsoft Online Services such as Microsoft 365 or Microsoft Intune.</p>"
Data Loss Prevention,Assess,Tools,TRUE,"<p>Data loss prevention (DLP), per Gartner, may be defined as technologies which perform both content inspection and contextual analysis of data sent via messaging applications such as email and instant messaging, in motion over the network, in use on a managed endpoint device, and at rest in on-premises file servers or in cloud applications and cloud storage. These solutions execute responses based on policy and rules defined to address the risk of inadvertent or accidental leaks or exposure of sensitive data outside authorized channels. </p>
 
<p>DLP technologies are broadly divided into two categories – Enterprise DLP and Integrated DLP. While Enterprise DLP solutions are comprehensive and packaged in agent software for desktops and servers, physical and virtual appliances for monitoring networks and email traffic, or soft appliances for data discovery, Integrated DLP is limited to secure web gateways (SWGs), secure email gateways (SEGs), email encryption products, enterprise content management (ECM) platforms, data classification tools, data discovery tools, and cloud access security brokers (CASBs).</p>"
Android - Operations,Assess,Platforms,TRUE,"<p>Currently the stores use a mix of end user compute hardware, this includes thin terminal, PCR Tablets, Training Tablets, and Windows based tills. In an ideal world we would converge into a single Ecosystem where possible, although this is unlikely to be completely possible we should asses that Android Devices can do for Pret.  </p> "
IOS - Operations,Assess,Platforms,TRUE,"<p>Currently the stores use a mix of end user compute hardware, this includes thin terminal, PCR Tablets, Training Tablets, and Windows based tills. In an ideal world we would converge into a single Ecosystem where possible, although this is unlikely to be completely possible we should asses that IOS devices can do for Pret.  </p>"
AliPay,Assess,Tools,TRUE,"<p>Alipay is an eWallet app that lets users store debit or credit card details to make online and in-store purchases using their phones. It works as a mobile wallet-based payment method, similar to the likes of Apple Pay.</p>"
Wee chat,Assess,Tools,TRUE,<p>WeeChat (Wee Enhanced Environment for Chat) is a free and open-source Internet Relay Chat client that is designed to be light and fast. It is released under the terms of the GNU GPL-3.0-or-later and has been developed since 2003.</p>
NoSQL,Assess,Platforms,TRUE,"<p>NoSQL databases (aka ""not only SQL"") are non-tabular databases and store data differently than relational tables. NoSQL databases come in a variety of types based on their data model. The main types are document, key-value, wide-column, and graph. They provide flexible schemas and scale easily with large amounts of data and high user loads.</p>"
Cisco DNA,Assess,Tools,TRUE,"<p>Cisco DNA Center is a powerful network controller and management dashboard that lets you take charge of your network, optimize your Cisco investment, and lower your IT spending.</p>"
Azure AD,Assess,Platforms,TRUE,<p>Azure Active Directory (Azure AD) is Microsoft’s cloud-based identity and access management service.</p>
R&A 20.1 BI API,Assess,Tools,TRUE,<p>Historically Pret have need to pull data out of the Simphony EPoS system through Oracle Extensibility platform which require both constant maintenance and Simphony versions change as well as the current mechanism required the shop to be on the Pret network. Oracle have no vastly important both their Reporting and Analytics and more important that BI API. This allows us to pull data directly from the Oracle Cloud. While not yet tested if these enhancements can remove the need for agent software from the till it would more us one step closer to removing the shops dependence on the network. </p>
Dynamic Build,Assess,Tools,TRUE,"<p. Historically, when a developed team finished the code changes, they are working on they would then need to compile the code and upgrade the target systems. Recent years has seen the rise in automated buildings, included testing validation etc. At Pret we do this in some situations. We should strive to assess the ability to implement automate build procedures where viable across the Pret ecosystem. This will provide us with great efficiency, and a more seamless and more agile upgrade pipeline. </p>"
Deliverect Tunnel,Assess,Tools,TRUE,<p>Pret currently use Deliverect to provide incoming order aggregation from the like to Ubereats and Deliveroo. Incoming orders are pushed through MuleSoft to the till too generate the order. The issue with this is it requires the shop to be connected to the network to route the order. Deliverect have developed a new agent that runs on the till then connects outwards across the internet to the Deliverect platform. We should asses this product and replace if feasible as this is another step toward shops no longer needing connection to the wider Pret network.</p>
Starkis,Assess,Platforms,TRUE,"<p> StarKis is Prets in house-built production platform. Built on PowerBuilder, and backed by a SQL database. Its build using a monolithic client-server architecture which heavily constrains the platform, both in terms of scalability and reliability. The client nature also requires the used of Virtual Desktop technology to access it rather then more modern technologies. We should hold this platform as we slowly build out a replacement web based platform, designed with modularity in mind. </p>"
Monorepo Tooling,Assess,Techniques,TRUE,"<p>In version control systems, a monorepo (""mono"" meaning 'single' and ""repo"" being short for 'repository') is a software development strategy where code for many projects is stored in the same repository. As of 2017, various forms of this software engineering practice were over two decades old, but the general concept had only recently been named. Many attempts have been made to differentiate between monolithic applications and other, newer forms of monorepos.</p>"
Apple VAS,Assess,Tools,TRUE,"<p. Apple VAS is a native feature of the IOS platform that allows for the storage of wallets on top of 1 click payment mechanisms. Currently we do not use this and store such information within various components (for example Eagle Eye). We should assess whether Apple VAS is a technology that adds value, noting that we would also need to find and equivalent solution for Android. </p>"
Standard Libraries,Assess,Techniques,TRUE,"<p> Pret currently use a plethora of development technologies, while this does offer some benefits it can also create skill gaps where we have too few people that understand a specific component. We should move to a place where we agree specific libraries and they are reused where possible. If a library is no longer viable it becomes deprecated then replaced with another that all products should adopt. </p>"
DLQ Management and Replay Tooling,Assess,Tools,TRUE,<p>A type of test execution tool where inputs are recorded during manual testing in order to generate automated test scripts that can be executed later (i.e. replayed). These tools are often used to support automated regression testing.</p>
Hotjar,Assess,Tools,TRUE,"<p>Hotjar is a product experience insights tool that gives you behavior analytics and feedback data to help you empathize with and understand your customers through tools like Heatmaps, Session Recordings, Surveys, and an Incoming Feedback widget.</p>"
Spring Boot,Assess,Languages & Frameworks,TRUE,"<p>Spring Boot is an open-source micro framework maintained by a company called Pivotal. It provides Java developers with a platform to get started with an auto configurable production-grade Spring application. With it, developers can get started quickly without losing time on preparing and configuring their Spring application.</p>"
Data quality monitoring tools (e.g. Talend),Assess,Platforms,TRUE,"<p>Data quality is the measure of how well suited a data set is to serve its specific purpose. Measures of data quality are based on data quality characteristics such as accuracy, completeness, consistency, validity, uniqueness, and timeliness.</p>"
Native Passbook,Assess,Platforms,TRUE,"<p> Passbooks are applications that act as wallets, they store information like credentials, balances, Subscription ID’s etc. Currently we don’t store these details but we should assess the value of using the device native passbooks to enhance our digital offering. </p> "
Eagle Eye Stored credit,Assess,Tools,TRUE,"<p > Pret already use Eagle Eye to provide validation of our coffee subscriptions. Beyond this Eagle Eye also has the ability to maintain user account balances for gift cards, something we currently use Givex for, this gives us a great chance to consolidate a supplier. </p> "
Store Everything,Assess,Techniques,TRUE,<p>As default as new data is generated in our application landscape we should seek to capture that data in our data platform. The only modifications that should be made are to comply with legislation (for example we may choose to scrub GDPR related data).</p>
Saucelabs,Assess,Tools,TRUE,"<p>Sauce Labs allows users to run tests in the cloud on more than 700 different browser platform, operating system and device combinations, providing a comprehensive test infrastructure for automated and manual testing of desktop and mobile applications using Selenium, Appium and JavaScript unit testing frameworks.</p>"
Content filtering,Assess,Techniques,TRUE,<p>Content filtering is the use of a program to screen and/or exclude access to web pages or email deemed objectionable.</p>
Cisco Umbrella,Assess,Tools,TRUE,"<p>Cisco Umbrella is a Cloud driven Secure Internet Gateway that provides protection from Internet based threats, for users wherever they go. Umbrella’s global network processes billions of requests per day, analysing and learning internet activity to determine where attacks are being staged, so it can block requests to unwanted and malicious destinations before a connection is even established.</p>"
Notification Webhooks (Network Monitoring),Assess,Techniques,TRUE,"<p>A webhook (also called a web callback or HTTP push API) is a way for an app to provide other applications with real-time information. A webhook delivers data to other applications as it happens, meaning you get data immediately. Unlike typical APIs where you would need to poll for data very frequently in order to get it real-time. This makes webhooks much more efficient for both provider and consumer. The only drawback to webhooks is the difficulty of initially setting them up.</p>"
Flow Preference,Assess,Techniques,TRUE,<p> Flow Preference is a feature of the Meraki Auto-On VPN that allow the granular configuration of the flow of traffic over the VPN based on its attributes. The plan is to added this feature and identify if there are any benefits that could be gained from it. </p> 
VPN redundancy,Assess,Techniques,TRUE,"<p> VPN Redundancy, simply put is having multiple VPN tunnels running across different routes concurrently this builds resilience because if one tunnel collapses the other still persists due to the divergent routing, meaning there is no interruption to service.  </p> "
Azure Bastion,Assess,Platforms,TRUE,<p>Azure Bastion is a fully managed service that provides more secure and seamless Remote Desktop Protocol (RDP) and Secure Shell Protocol (SSH) access to virtual machines (VMs) without any exposure through public IP addresses.</p>
Veeam,Assess,Platforms,TRUE,"<p>Veeam Backup & Replication is a software product developed by Veeam Software to backup, restore and replicate data on virtual machines (VMs).</p>"
GCP APIgee API Management,Assess,Platforms,TRUE,"<p>Apigee is a platform for developing and managing APIs. By fronting services with a proxy layer, Apigee provides an abstraction or facade for your backend service APIs and provides security, rate limiting, quotas, analytics, and more.</p>"
Azure Application Gateways,Assess,Platforms,TRUE,"<p>Azure Application Gateway is a web traffic load balancer that enables you to manage traffic to your web applications. Traditional load balancers operate at the transport layer (OSI layer 4 - TCP and UDP) and route traffic based on source IP address and port, to a destination IP address and port.</p>"
